query_id,query_file,phase,method,run_index,latency_ms,row_count,result_node_ids_match,seed_ids_match
paper-42286-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.558167,23,TRUE,
paper-42286-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,2.882125,102,TRUE,
paper-42286-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.676500,5,TRUE,
paper-42286-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,2.132542,33,TRUE,
paper-42286-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,4.974542,213,TRUE,
paper-42286-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,2.941875,10,TRUE,
paper-42286-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,3.510625,52,TRUE,
paper-42286-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,7.139125,256,TRUE,
paper-43210-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,0.871834,1,TRUE,
paper-43210-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,0.932625,8,TRUE,
paper-43210-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,3.501792,146,TRUE,
paper-43210-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.318000,3,TRUE,
paper-43210-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.341666,7,TRUE,
paper-43210-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,2.153250,56,TRUE,
paper-43210-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.741125,5,TRUE,
paper-43210-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,2.027375,23,TRUE,
paper-43210-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,76.805792,4595,TRUE,
paper-43210-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,3.566833,10,TRUE,
paper-43210-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,4.536125,74,TRUE,
paper-43210-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,444.607792,26412,TRUE,
paper-83873-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,0.932333,1,TRUE,
paper-83873-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,0.899458,2,TRUE,
paper-83873-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,1.267375,16,TRUE,
paper-83873-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.247500,3,TRUE,
paper-83873-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.295750,8,TRUE,
paper-83873-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,8.152000,421,TRUE,
paper-83873-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.562333,5,TRUE,
paper-83873-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,2.287542,49,TRUE,
paper-83873-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,17.130458,954,TRUE,
paper-83873-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,3.195916,10,TRUE,
paper-83873-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,4.796458,65,TRUE,
paper-83873-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,27.823209,1027,TRUE,
paper-13672-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,1.143708,1,TRUE,
paper-13672-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,1.113958,5,TRUE,
paper-13672-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,1.855458,46,TRUE,
paper-13672-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.673958,3,TRUE,
paper-13672-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.828291,12,TRUE,
paper-13672-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,14.106708,692,TRUE,
paper-13672-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,2.209834,5,TRUE,
paper-13672-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,2.300542,24,TRUE,
paper-13672-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,19.032375,937,TRUE,
paper-13672-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,3.262625,10,TRUE,
paper-13672-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,3.930209,41,TRUE,
paper-13672-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,24.249416,1155,TRUE,
paper-23305-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,1.118000,1,TRUE,
paper-23305-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,1.072625,4,TRUE,
paper-23305-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,7.460083,397,TRUE,
paper-23305-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.425250,3,TRUE,
paper-23305-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.808542,27,TRUE,
paper-23305-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,12.911084,632,TRUE,
paper-23305-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.573875,5,TRUE,
paper-23305-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,1.936583,32,TRUE,
paper-23305-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,14.846791,782,TRUE,
paper-23305-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,3.302625,10,TRUE,
paper-23305-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,4.453083,76,TRUE,
paper-23305-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,23.380125,1173,TRUE,
paper-12790-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,0.950250,1,TRUE,
paper-12790-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,0.942167,3,TRUE,
paper-12790-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,1.055542,10,TRUE,
paper-12790-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.256042,3,TRUE,
paper-12790-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.440000,14,TRUE,
paper-12790-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,3.939209,165,TRUE,
paper-12790-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.456416,5,TRUE,
paper-12790-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,1.835375,25,TRUE,
paper-12790-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,14.644542,826,TRUE,
paper-12790-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,3.184541,10,TRUE,
paper-12790-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,4.083000,52,TRUE,
paper-12790-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,23.263416,1174,TRUE,
paper-169312-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,0.947334,1,TRUE,
paper-169312-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,1.199333,22,TRUE,
paper-169312-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,182.026125,9548,TRUE,
paper-169312-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.529458,3,TRUE,
paper-169312-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.896750,32,TRUE,
paper-169312-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,187.727084,11035,TRUE,
paper-169312-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,2.075000,5,TRUE,
paper-169312-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,2.658084,53,TRUE,
paper-169312-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,400.174000,23331,TRUE,
paper-169312-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,4.026458,10,TRUE,
paper-169312-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,5.026000,84,TRUE,
paper-169312-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,514.274459,29736,TRUE,
paper-99217-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,1.060625,1,TRUE,
paper-99217-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,1.013875,7,TRUE,
paper-99217-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,1.466541,34,TRUE,
paper-99217-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.336125,3,TRUE,
paper-99217-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,2.006083,15,TRUE,
paper-99217-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,5.202416,205,TRUE,
paper-99217-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.518333,5,TRUE,
paper-99217-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,1.956667,31,TRUE,
paper-99217-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,72.055541,4178,TRUE,
paper-99217-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,2.957208,10,TRUE,
paper-99217-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,3.685083,59,TRUE,
paper-99217-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,304.324666,17994,TRUE,
paper-51178-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,0.999334,1,TRUE,
paper-51178-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,0.933625,2,TRUE,
paper-51178-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,1.541208,41,TRUE,
paper-51178-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.301750,3,TRUE,
paper-51178-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.781167,31,TRUE,
paper-51178-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,11.632958,614,TRUE,
paper-51178-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.801208,5,TRUE,
paper-51178-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,2.319375,46,TRUE,
paper-51178-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,18.572417,1066,TRUE,
paper-51178-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,3.393375,10,TRUE,
paper-51178-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,4.771250,95,TRUE,
